Query,Site Clicks,% Δ,Site Impressions,% Δ,Site CTR,% Δ,Average Position,% Δ
face shield,288,1.4827586206896552,6298,0.888455772113943,0.04572880279453795,0.314703080342966,1.3412194347411877,-0.09454113059476493
ครีมรักษาสิว,288,0.0176678445229682,1963,0.04973262032085562,0.1467142129393785,-0.030545660082551947,1,-0.0016017084890550869
โต๊ะกินข้าว,288,0.5652173913043478,4864,0.2105525136884022,0.05921052631578947,0.2929776887871852,1.0390625,-0.4951078576611441
ผลไม้ไหว้ศาลพระภูมิ,286,1.2170542635658914,661,1.2255892255892256,0.43267776096822996,-0.003834922421982227,1.027231467473525,0.023784382012204355
ชีวิตเพื่อชาติรักนี้เพื่อเธอ,284,0.986013986013986,13046,0.848660904066884,0.021769124635903726,0.07429868919980845,9.346466349839032,-0.13594009260740092
สมัคร netflix,283,0.8258064516129032,13692,0.7985025614081177,0.020669003797838155,0.015181457502850774,5.859260882267018,0.004901058746509423
ลําโพงบลูทูธ,283,-0.34942528735632183,10760,0.03421760861207228,0.026301115241635687,-0.37094987822074094,3.3815985130111526,0.714613330540866
คาถาหลวงพ่อโสธร,281,1.0071428571428571,2028,0.06345044572627163,0.13856015779092704,0.8873872921949846,1.3811637080867851,-0.48787104971388306
crash landing on you ซับไทย,281,0.5026737967914439,5067,0.30795043882292206,0.05545687783698441,0.1488767098421262,1.5776593645154924,0.4798674039062997
ผ้าคลุมโซฟา,279,0.19742489270386265,2026,0.11686879823594266,0.1377097729516288,0.0721267301899342,1.0493583415597236,0.0482026605668164
อินทผาลัม,278,0.27522935779816515,12010,0.5289624443029918,0.0231473771856786,-0.16595115691052562,3.9115736885928394,-0.04073021155489371
มุขเสี่ยว,276,0.9574468085106383,9672,0.09610154125113328,0.028535980148883373,0.7858261619414671,7.583953680727874,-0.18261667873335496
ของไหว้แม่ย่านางรถมีอะไรบ้าง,276,10.5,2696,8.803636363636363,0.10237388724035608,0.17303412462907997,4.243323442136498,-0.08477337522546122
หูฟัง,275,-0.021352313167259787,4946,-0.0943050723310749,0.05560048524059846,0.08054893202458438,1.1285887585928023,-0.12404445556064617
วิตามินซี,275,0.71875,23156,0.7427560773688567,0.011875971670409397,-0.013774777595439613,3.7268526515805838,0.0064774630396588215
โน๊ตบุ๊คมือสอง,274,-0.08666666666666667,2457,-0.01444043321299639,0.11151811151811152,-0.07328449328449327,1.927960927960928,0.020901995201060723
สะดุดรัก24ชั่วโมง,271,0.2904761904761905,5782,-0.005674978503869304,0.046869595295745414,0.2978414125940932,6.540470425458319,-0.12273756691331532
หน้ากาก n95,271,1.6568627450980393,1513,0.8119760479041916,0.17911434236615995,0.4662791752523879,3.509583608724389,-0.024466606762694867
เครื่องทําน้ําแข็ง,270,0.656441717791411,2241,0.25546218487394956,0.12048192771084337,0.31938798137334623,1.0834448906738063,-0.1735260128834426
ps4,268,0.3958333333333333,3625,0.17809554761130972,0.07393103448275862,0.1848218390804597,2.6093793103448277,0.08062720564347706
วอลเปเปอร์,268,-0.1518987341772152,32736,0.0525029739896473,0.008186705767350928,-0.19420534974077233,3.7573008308895406,0.008050787053889261
วิธีไหว้แม่ย่านางรถ,266,25.6,12823,59.201877934272304,0.020743975668720268,-0.5581533182562582,8.148093269905639,-0.09133828979586336
หม้อทอดไร้น้ํามัน,265,0.22119815668202766,8113,0.276431718061674,0.03266362627881178,-0.04327184963996467,2.0587945273018615,-0.0101590003380763
garena shell,263,0.6967741935483871,1145,-0.09270998415213946,0.22969432314410482,0.8701563600507114,3.7676855895196506,0.2802421146940763
คาถาท้าวเวสสุวรรณ,262,0.45555555555555555,7366,0.5241051106972895,0.03556882975834917,-0.04497692098832481,1.0697800705946239,0.053003478856174506
กล่องใส่รองเท้า,260,0.061224489795918366,1693,0.026060606060606062,0.1535735380980508,0.03427076678279101,1,-0.003623188405797125
ตารางถือศีลอด 2564,259,,1007,,0.2571996027805363,,1.8579940417080438,
